#    L    TT             EE             BB             TE          
   166   0.485636E+04   0.970358E+00   0.938113E-02  -0.432405E+02
   167   0.488461E+04   0.960258E+00   0.950618E-02  -0.428560E+02
   168   0.491251E+04   0.949984E+00   0.963224E-02  -0.424444E+02
   169   0.494005E+04   0.939557E+00   0.975933E-02  -0.420054E+02
   170   0.496722E+04   0.928994E+00   0.988744E-02  -0.415392E+02
   171   0.499401E+04   0.918322E+00   0.100166E-01  -0.410454E+02
   172   0.502042E+04   0.907566E+00   0.101467E-01  -0.405243E+02
   173   0.504644E+04   0.896747E+00   0.102779E-01  -0.399757E+02
   174   0.507205E+04   0.885887E+00   0.104100E-01  -0.393995E+02
   175   0.509725E+04   0.875024E+00   0.105432E-01  -0.387961E+02
   176   0.512203E+04   0.864173E+00   0.106774E-01  -0.381652E+02
   177   0.514639E+04   0.853371E+00   0.108126E-01  -0.375070E+02
   178   0.517030E+04   0.842639E+00   0.109488E-01  -0.368214E+02
   179   0.519376E+04   0.832001E+00   0.110859E-01  -0.361085E+02
   180   0.521678E+04   0.821493E+00   0.112241E-01  -0.353685E+02
   181   0.523933E+04   0.811146E+00   0.113632E-01  -0.346014E+02
   182   0.526142E+04   0.800988E+00   0.115034E-01  -0.338075E+02
   183   0.528304E+04   0.791042E+00   0.116445E-01  -0.329868E+02
   184   0.530418E+04   0.781344E+00   0.117865E-01  -0.321395E+02
   185   0.532483E+04   0.771933E+00   0.119295E-01  -0.312657E+02
   186   0.534498E+04   0.762830E+00   0.120735E-01  -0.303656E+02
   187   0.536464E+04   0.754066E+00   0.122184E-01  -0.294394E+02
   188   0.538379E+04   0.745680E+00   0.123643E-01  -0.284874E+02
   189   0.540242E+04   0.737704E+00   0.125111E-01  -0.275097E+02
   190   0.542054E+04   0.730172E+00   0.126588E-01  -0.265066E+02
   191   0.543813E+04   0.723115E+00   0.128074E-01  -0.254785E+02
   192   0.545519E+04   0.716568E+00   0.129569E-01  -0.244254E+02
   193   0.547170E+04   0.710565E+00   0.131073E-01  -0.233476E+02
   194   0.548767E+04   0.705141E+00   0.132586E-01  -0.222455E+02
   195   0.550309E+04   0.700332E+00   0.134108E-01  -0.211195E+02
   196   0.551796E+04   0.696172E+00   0.135639E-01  -0.199699E+02
   197   0.553228E+04   0.692700E+00   0.137177E-01  -0.187971E+02
   198   0.554605E+04   0.689950E+00   0.138725E-01  -0.176014E+02
   199   0.555925E+04   0.687957E+00   0.140280E-01  -0.163832E+02
   200   0.557189E+04   0.686758E+00   0.141844E-01  -0.151429E+02
   201   0.558397E+04   0.686390E+00   0.143416E-01  -0.138809E+02
   202   0.559547E+04   0.686889E+00   0.144996E-01  -0.125976E+02
   203   0.560637E+04   0.688290E+00   0.146584E-01  -0.112933E+02
   204   0.561667E+04   0.690630E+00   0.148179E-01  -0.996863E+01
   205   0.562636E+04   0.693947E+00   0.149782E-01  -0.862390E+01
   206   0.563543E+04   0.698274E+00   0.151392E-01  -0.725953E+01
   207   0.564387E+04   0.703650E+00   0.153010E-01  -0.587590E+01
   208   0.565168E+04   0.710111E+00   0.154634E-01  -0.447359E+01
   209   0.565887E+04   0.717691E+00   0.156266E-01  -0.305316E+01
   210   0.566545E+04   0.726429E+00   0.157904E-01  -0.161515E+01
   211   0.567140E+04   0.736360E+00   0.159549E-01  -0.160115E+00
   212   0.567676E+04   0.747520E+00   0.161201E-01   0.131139E+01
   213   0.568152E+04   0.759945E+00   0.162859E-01   0.279882E+01
   214   0.568567E+04   0.773673E+00   0.164523E-01   0.430160E+01
   215   0.568924E+04   0.788733E+00   0.166193E-01   0.581917E+01
   216   0.569219E+04   0.805169E+00   0.167869E-01   0.735092E+01
   217   0.569454E+04   0.823010E+00   0.169551E-01   0.889623E+01
   218   0.569627E+04   0.842286E+00   0.171238E-01   0.104546E+02
   219   0.569739E+04   0.863041E+00   0.172931E-01   0.120254E+02
   220   0.569788E+04   0.885304E+00   0.174628E-01   0.136080E+02
   221   0.569775E+04   0.909104E+00   0.176331E-01   0.152018E+02
   222   0.569699E+04   0.934486E+00   0.178038E-01   0.168063E+02
   223   0.569560E+04   0.961470E+00   0.179751E-01   0.184206E+02
   224   0.569359E+04   0.990093E+00   0.181467E-01   0.200443E+02
   225   0.569096E+04   0.102038E+01   0.183188E-01   0.216765E+02
   226   0.568770E+04   0.105237E+01   0.184913E-01   0.233167E+02
   227   0.568383E+04   0.108609E+01   0.186641E-01   0.249643E+02
   228   0.567933E+04   0.112157E+01   0.188374E-01   0.266184E+02
   229   0.567422E+04   0.115884E+01   0.190110E-01   0.282785E+02
   230   0.566849E+04   0.119794E+01   0.191849E-01   0.299439E+02
   231   0.566215E+04   0.123887E+01   0.193591E-01   0.316139E+02
   232   0.565521E+04   0.128167E+01   0.195336E-01   0.332878E+02
   233   0.564765E+04   0.132637E+01   0.197084E-01   0.349648E+02
   234   0.563949E+04   0.137300E+01   0.198835E-01   0.366443E+02
   235   0.563073E+04   0.142158E+01   0.200587E-01   0.383256E+02
   236   0.562136E+04   0.147214E+01   0.202342E-01   0.400079E+02
   237   0.561140E+04   0.152469E+01   0.204099E-01   0.416906E+02
   238   0.560084E+04   0.157926E+01   0.205857E-01   0.433728E+02
   239   0.558970E+04   0.163586E+01   0.207617E-01   0.450540E+02
   240   0.557798E+04   0.169453E+01   0.209378E-01   0.467331E+02
   241   0.556566E+04   0.175528E+01   0.211141E-01   0.484098E+02
   242   0.555278E+04   0.181812E+01   0.212904E-01   0.500831E+02
   243   0.553932E+04   0.188309E+01   0.214668E-01   0.517523E+02
   244   0.552530E+04   0.195019E+01   0.216432E-01   0.534168E+02
   245   0.551072E+04   0.201944E+01   0.218197E-01   0.550758E+02
   246   0.549559E+04   0.209084E+01   0.219962E-01   0.567286E+02
   247   0.547990E+04   0.216443E+01   0.221726E-01   0.583745E+02
   248   0.546369E+04   0.224022E+01   0.223491E-01   0.600127E+02
   249   0.544693E+04   0.231820E+01   0.225255E-01   0.616426E+02
   250   0.542965E+04   0.239841E+01   0.227018E-01   0.632634E+02
   251   0.541184E+04   0.248082E+01   0.228780E-01   0.648742E+02
   252   0.539350E+04   0.256547E+01   0.230542E-01   0.664744E+02
